date,home_team,away_team,home_team_continent,away_team_continent,home_team_score,away_team_score,tournament,neutral_location,shoot_out,home_team_result
9/9/1996,Indonesia,Myanmar,Asia,Asia,6,1,AFF Championship,TRUE,No,Win
9/9/1996,Laos,Cambodia,Asia,Asia,1,0,AFF Championship,TRUE,No,Win
9/10/1996,Brunei Darussalam,Malaysia,Asia,Asia,0,6,AFF Championship,TRUE,No,Lose
9/10/1996,Singapore,Thailand,Asia,Asia,0,1,AFF Championship,FALSE,No,Lose
9/11/1996,Japan,Uzbekistan,Asia,Asia,1,0,Friendly,FALSE,No,Win
9/11/1996,Laos,Myanmar,Asia,Asia,2,4,AFF Championship,TRUE,No,Lose
9/11/1996,Vietnam,Indonesia,Asia,Asia,1,1,AFF Championship,TRUE,No,Draw
9/13/1996,Malaysia,Indonesia,Asia,Asia,3,1,AFF Championship,TRUE,No,Win
9/13/1996,Thailand,Vietnam,Asia,Asia,4,2,AFF Championship,TRUE,No,Win
9/14/1996,Australia,Ghana,Oceania,Africa,2,0,Simba Tournament,TRUE,No,Win
9/14/1996,South Africa,Kenya,Africa,Africa,1,0,Simba Tournament,FALSE,No,Win
9/15/1996,Indonesia,Vietnam,Asia,Asia,2,3,AFF Championship,TRUE,No,Lose
9/15/1996,Jamaica,Honduras,North America,North America,3,0,FIFA World Cup qualification,FALSE,No,Win
9/15/1996,Senegal,Mali,Africa,Africa,1,0,Friendly,FALSE,No,Win
9/15/1996,Thailand,Malaysia,Asia,Asia,1,0,AFF Championship,TRUE,No,Win
9/17/1996,Oman,Zambia,Asia,Africa,0,0,Friendly,FALSE,No,Draw
9/18/1996,Czech Republic,Malta,Europe,Europe,6,0,FIFA World Cup qualification,FALSE,No,Win
9/18/1996,Ghana,Kenya,Africa,Africa,1,0,Simba Tournament,TRUE,No,Win
9/18/1996,Romania,United Arab Emirates,Europe,Asia,1,2,Friendly,FALSE,No,Lose
9/18/1996,Solomon Islands,Vanuatu,Oceania,Oceania,1,1,FIFA World Cup qualification,TRUE,No,Draw
9/18/1996,South Africa,Australia,Africa,Oceania,2,0,Simba Tournament,FALSE,No,Win
9/19/1996,El Salvador,Venezuela,North America,South America,0,1,Friendly,FALSE,No,Lose
9/20/1996,Qatar,Sri Lanka,Asia,Asia,3,0,FIFA World Cup qualification,FALSE,No,Win
9/21/1996,Australia,Kenya,Oceania,Africa,4,0,Simba Tournament,TRUE,No,Win
9/21/1996,Honduras,Mexico,North America,North America,2,1,FIFA World Cup qualification,FALSE,No,Win
